Repository,Category,Subcat,Standard,Stars,Forks,Description,URL,License,Language,Top Contributors,Contributors,Created,Updated,Last Commit,Downloads,Topics
apple/FHIRModels,Interoperability,Data Models & Validation,FHIR,194,31,Swift library for FHIR® resource Data Models & Validation,https://github.com/apple/FHIRModels,Apache License 2.0,Swift,"p2-apple, cary-apple",2,2020-06-23,2025-09-22,2025-05-14,0,"fhir, swift, swift-package-manager"
som-shahlab/ehrshot-benchmark,Model Development,Eval,,194,24,A benchmark for few-shot evaluation of foundation models for electronic health records (EHRs),https://github.com/som-shahlab/ehrshot-benchmark,Apache License 2.0,Jupyter Notebook,"Miking98, rthapa84, EthanSteinberg",5,2023-06-15,2025-09-30,2025-06-06,0,
xliucs/MTTS-CAN,Model repo,,,194,54,Multi-Task Temporal Shift Attention Networks for On-Device Contactless Vitals Measurement (NeurIPS 2020),https://github.com/xliucs/MTTS-CAN,MIT License,Python,xliucs,1,2020-10-06,2025-09-19,2023-04-01,0,"cardiovascular, computer-vision, deep-learning, healthcare, mobile-computing"
samply/blaze,Infrastructure,Servers,FHIR,189,21,"A FHIR® Server with internal, fast CQL Evaluation Engine",https://github.com/samply/blaze,Apache License 2.0,Clojure,"alexanderkiel, renovate[bot], allentiak",19,2019-03-29,2025-10-02,2025-10-02,85,"cql-evaluation-engine, fhir, fhir-server, fhir-store, health-informatics"
cerner/smart-on-fhir-tutorial,Archived,,,184,4314,SMART on FHIR developer tutorial,https://github.com/cerner/smart-on-fhir-tutorial,Unknown,JavaScript,"Level60Warlock, kpshek, kolkheang",7,2016-11-13,2025-09-19,2023-09-11,0,
bowang-lab/ecg-fm,Model repo,,,189,15,An electrocardiogram analysis foundation model.,https://github.com/bowang-lab/ecg-fm,MIT License,Python,KadenMc,1,2024-05-27,2025-10-03,2025-10-03,0,"electrocardiogram, foundation-models, healthcare, machine-learning, mimic-iv-ecg"
oehf/ipf,Interoperability,Gateways & Connectors,"FHIR, HL7v2, HL7 CDA",182,68,Open eHealth Integration Platform,https://github.com/oehf/ipf,Apache License 2.0,Java,"unixoid, ohr, stanojevic-boris",24,2012-09-04,2025-09-30,2025-09-13,0,"camel, ehealth, fhir, hl7, ihe-iti"
smart-on-fhir/fhir-parser,Interoperability,Data Models & Validation,FHIR,179,73,A Python FHIR specification parser and class generator,https://github.com/smart-on-fhir/fhir-parser,Other,Python,"p2, palfrey, mikix",11,2014-09-08,2025-09-24,2024-07-22,0,
cds-hooks/docs,References,,,174,65,CDS Hooks website & specification,https://github.com/cds-hooks/docs,Apache License 2.0,Procfile,"isaacvetter, lord, kpshek",75,2016-05-03,2025-08-05,2025-04-27,0,"cds, clinical-decision-support, fhir, interoperability, smart-on-fhir"
Vermonster/fhir-kit-client,Interoperability,Client SDKs,FHIR,178,38,Node.js FHIR client library,https://github.com/Vermonster/fhir-kit-client,MIT License,JavaScript,"bkaney, dependabot[bot], Jammjammjamm",15,2018-03-30,2025-09-06,2023-08-30,0,"cds-hooks, fhir, hl7, javascript, nodejs"
fhir-crucible/fhir_client,Interoperability,Client SDKs,FHIR,174,59,Ruby FHIR Client,https://github.com/inferno-framework/fhir_client,Apache License 2.0,Ruby,"jawalonoski, arscan, andrequina",21,2014-12-08,2025-09-06,2024-10-18,0,"fhir, fhir-client"
hapifhir/org.hl7.fhir.core,Interoperability,Data Models & Validation,FHIR,174,184,,https://github.com/hapifhir/org.hl7.fhir.core,Apache License 2.0,Java,"grahamegrieve, dotasek, markiantorno",87,2019-01-13,2025-10-02,2025-10-02,27143,fhir
inferno-framework/fhir_client,Interoperability,Client SDKs,FHIR,174,59,Ruby FHIR Client,https://github.com/inferno-framework/fhir_client,Apache License 2.0,Ruby,"jawalonoski, arscan, andrequina",21,2014-12-08,2025-09-06,2024-10-18,0,"fhir, fhir-client"
HL7/fhirpath.js,App Development,Profiling & Authoring,FHIR,173,49,Javascript implementation of FHIRPath,https://github.com/HL7/fhirpath.js,Other,JavaScript,"yuriy-sedinkin, plynchnlm, niquola",25,2019-04-01,2025-09-26,2025-09-05,203,
smart-on-fhir/Swift-FHIR,Interoperability,Data Models & Validation,FHIR,171,59,These are Swift classes for Data Models & Validation of FHIR elements and resources,https://github.com/smart-on-fhir/Swift-FHIR,Other,Swift,"p2, drdavec, JeffreyTaylor",7,2014-07-02,2025-09-08,2019-10-24,0,"fhir, fhir-client, ios, macos"
FHIR/sushi,App Development,Profiling & Authoring,FHIR,171,50,"SUSHI (aka ""SUSHI Unshortens Short Hand Inputs"") is a reference implementation command-line interpre...",https://github.com/FHIR/sushi,Apache License 2.0,TypeScript,"cmoesel, mint-thompson, ngfreiter",29,2019-10-23,2025-10-02,2025-09-22,0,
mne-tools/mne-cpp,Model Development,Dataset Processing,iomt,168,144,MNE-CPP: A Framework for Electrophysiology,https://github.com/mne-tools/mne-cpp,"BSD 3-Clause ""New"" or ""Revised"" License",C++,"LorenzE, chdinh, gabrielbmotta",38,2012-08-29,2025-09-17,2024-04-29,2612,"analysis, biomedical-informatics, c-plus-plus, clinical, computational-neuroscience"
bluehalo/graphql-fhir,Infrastructure,Servers,FHIR,167,51,A secure GraphQL implementation for the HL7 FHIR specification based on the current implementation g...,https://github.com/bluehalo/graphql-fhir,MIT License,JavaScript,"Robert-W, luan-dev, jamesburton",8,2018-07-06,2025-08-14,2023-02-06,0,"facade, fhir, graphql, graphql-fhir, hl7"
bluehalo/node-fhir-server-mongo,Infrastructure,Servers,FHIR,153,103,Open Source FHIR Server made with @asymmetrik/fhir-server-core backed by MongoDB,https://github.com/bluehalo/node-fhir-server-mongo,MIT License,JavaScript,"jonterrylee, ekdeveloper, imdrt",14,2018-01-05,2025-09-06,2024-09-16,0,
microsoft/iomt-fhir,Interoperability,Gateways & Connectors,"FHIR, iomt",151,66,iomt-fhir,https://github.com/microsoft/iomt-fhir,MIT License,C#,"rogordon01, dustinburson, wi-y",20,2019-10-10,2025-09-20,2025-05-28,0,
RasaHQ/medicare_locator,Archived,,,149,135,🏥Medicare Locator - Open source starter pack for developers to build contextual chatbots and AI assi...,https://github.com/RasaHQ/medicare_locator,GNU General Public License v3.0,Python,"EPedrotti, paulaWesselmann, erohmensing",7,2018-11-21,2025-08-13,2021-09-20,0,
dotimplement/HealthChain,HAI engineering,Framework,"FHIR, HL7 CDA",151,17,The missing middleware layer in healthcare AI 💫 🏥,https://github.com/dotimplement/HealthChain,Apache License 2.0,Python,"jenniferjiangkells, adamkells, Vortex-21",7,2024-04-11,2025-10-03,2025-10-01,0,"ai, ehr, fhir, hacktoberfest, healthcare"
BiomedSciAI/fuse-med-ml,Model Development,Modelling & Training,,149,37,A python framework accelerating ML based discovery in the medical field by encouraging code reuse. B...,https://github.com/BiomedSciAI/fuse-med-ml,Apache License 2.0,Python,"mosheraboh, alex-golts, SagiPolaczek",31,2021-06-23,2025-09-17,2025-09-17,0,"ai, cmmd, collaboration, ct, deep-learning"
cerner/fhir.cerner.com,References,,,145,115,API documentation for Cerner's implementation of the HL7® FHIR® standard,https://github.com/cerner/fhir.cerner.com,Unknown,Ruby,"daliboz, MaxPhilips, cerbs-of-yore",100,2015-04-07,2025-09-06,2024-05-02,0,
ZhiGroup/pytorch_ehr,Model Development,Dataset Processing,,147,31,source codes based on PyTorch to analyze EHR,https://github.com/ZhiGroup/pytorch_ehr,Unknown,Jupyter Notebook,"chocolocked, lrasmy, zhizhid",5,2018-01-15,2025-09-12,2024-01-17,0,
microsoft/fhir-codegen,App Development,Tooling,FHIR,144,56,Tools for code generation based on the FHIR specification.,https://github.com/microsoft/fhir-codegen,MIT License,TypeScript,"GinoCanessa, marcovisserFurore, brianpos",19,2020-02-07,2025-09-16,2024-09-27,175,
stanfordmlgroup/MedAgentBench,Model Development,Eval,,143,32,MedAgentBench: A Realistic Virtual EHR Environment to Benchmark Medical LLM Agents,https://github.com/stanfordmlgroup/MedAgentBench,MIT License,Python,jyx-su,1,2025-01-22,2025-10-03,2025-09-24,0,"agent, benchmark, medical"
brynlewis/C-CDA_Viewer,App Development,Visualization,HL7 CDA,142,74,HL7 Tooling Challenge C-CDA Viewer,https://github.com/brynlewis/C-CDA_Viewer,Unknown,XSLT,brynlewis,1,2016-05-10,2025-09-24,2018-08-21,0,
MIT-LCP/mimic-omop,Interoperability,Data Standards & Mapping,OMOP-CDM,142,51,Mapping the MIMIC-III database to the OMOP schema,https://github.com/MIT-LCP/mimic-omop,MIT License,PLpgSQL,"parisni, aparrot89, alistairewj",6,2017-09-05,2025-09-19,2018-11-29,0,"data-model, mimic-iii, omop"
OHDSI/Achilles,References,,,140,126,Automated Characterization of Health Information at Large-scale Longitudinal Evidence Systems (ACHILLES) - descriptive statistics about a OMOP CDM database,https://github.com/OHDSI/Achilles,Unknown,R,"fdefalco, AnthonyMolinaro, chrisknoll",44,2014-04-03,2025-06-24,2024-09-17,0,
StanfordMIMI/Merlin,Model repo,,,140,9,Merlin is a 3D VLM for computed tomography that leverages both structured electronic health records ...,https://github.com/StanfordMIMI/Merlin,MIT License,Python,"ashwinkumargb, louisblankemeier",2,2024-07-18,2025-10-01,2025-10-01,0,
dcarbone/php-fhir,Interoperability,Client SDKs,FHIR,139,43,Tools for consuming data from a FHIR server with PHP,https://github.com/dcarbone/php-fhir,Apache License 2.0,PHP,"dcarbone, dependabot[bot], dataground",12,2015-08-03,2025-09-25,2025-09-25,0,"fhir, fhir-parser, fhir-spec, hl7, php"
McJackTang/MMPD_rPPG_dataset,Model repo,,,139,17,MMPD: Multi-Domain Mobile Video Physiology Dataset(EMBC2023 Oral),https://github.com/McJackTang/MMPD_rPPG_dataset,MIT License,Python,"McJackTang, AAAAAAbaAba, THU-CS-PI",4,2023-01-18,2025-09-26,2024-09-30,0,"biosense, computer-vision, database, dataset, deep-learning"
smart-on-fhir/Swift-SMART,Interoperability,Client SDKs,FHIR,137,47,Swift SMART on FHIR framework for iOS and OS X,https://github.com/smart-on-fhir/Swift-SMART,Other,Swift,"p2, xmlmodeling, drdavec",3,2014-06-26,2025-04-13,2019-09-16,0,"fhir, fhir-client, ios, ios-framework, macos"
StanfordBDHG/LLMonFHIR,HAI engineering,Templates / Starters,FHIR,134,19,A Demonstration using LLMs to Explain Health Records,https://github.com/StanfordBDHG/LLMonFHIR,MIT License,Swift,"PSchmiedmayer, jdisho, AdritRao",8,2023-05-21,2025-09-24,2025-09-13,0,
fhir-fuel/awesome-FHIR,Lists,,FHIR,131,14,"A curated list of awesome FHIR software, libraries, tools and resources, inspired by awesome-[techno...",https://github.com/fhir-fuel/awesome-FHIR,Unknown,,"niquola, vadi2, kennethmyhra",8,2018-07-18,2025-09-24,2023-05-13,0,
goinvo/EHR,References,,,130,49,"The code repository for the prototypes included in the eBook ""Inspired EHRs - Designing for Clinicia...",https://github.com/goinvo/EHR,Unknown,PHP,jen-p,1,2013-08-21,2025-09-27,2021-03-17,0,"book, ehr, electronic-health-record, healthcare, open-source"
Ahryman40k/typescript-fhir-types,Interoperability,Data Models & Validation,FHIR,132,28,Typescript / Javascript object model for FHIR standard,https://github.com/Ahryman40k/typescript-fhir-types,MIT License,TypeScript,"Ahryman40k, dependabot[bot], bar-vim",5,2019-02-03,2025-08-30,2022-04-29,0,"fhir, typescript"
ruby-hl7/ruby-hl7,Interoperability,Data Models & Validation,HL7v2,129,100,The ruby-hl7 gem,https://github.com/ruby-hl7/ruby-hl7,MIT License,Ruby,"mogox, segfault, LucasMontorio",23,2010-10-01,2025-08-15,2025-01-27,0,"healthcare, hl7, ruby-gem"
StanfordSpezi/SpeziTemplateApplication,App Development,Templates / Starters,,128,39,Template application demonstrating the usage of the Stanford Spezi framework.,https://github.com/StanfordSpezi/SpeziTemplateApplication,MIT License,Swift,"PSchmiedmayer, bauer-andreas, vishnuravi",7,2023-01-17,2025-09-24,2025-06-15,0,"fhir, ios, spezi, stanford, swift"
KaiHe-better/LLM-for-Healthcare,Lists,,,126,13,,https://github.com/KaiHe-better/LLM-for-Healthcare,Unknown,Python,KaiHe-better,1,2023-06-27,2025-09-17,2024-05-31,0,
MIT-LCP/mimic-website,References,,,121,125,Website for the MIMIC Critical Care Database (currently version MIMIC-III),https://github.com/MIT-LCP/mimic-website,MIT License,CSS,"tompollard, alistairewj, briangow",33,2015-08-25,2025-09-27,2024-04-24,0,"ehr, icu, mimic, mimic-iii, physionet"
shamil-t/ehr-blockchain,Infrastructure,EHR,,127,54," Electronic Health Record (EHR) and Electronic Medical Record (EMR) systems. However, they still fac...",https://github.com/shamil-t/ehr-blockchain,MIT License,TypeScript,"shamil-t, dependabot[bot]",2,2020-06-26,2025-09-06,2024-10-28,0,"angular, blockchain, bootstrap5, ehr, ethereum-blockchain"
FHIR/sql-on-fhir-v2,References,,,121,34,This project provides the source for the SQL on FHIR v2.0 Implementation Guide,https://github.com/FHIR/sql-on-fhir-v2,MIT License,JavaScript,"niquola, johngrimes, rbrush",24,2023-01-14,2025-09-22,2025-09-22,0,
hitgeek/simple-hl7,Interoperability,Gateways & Connectors,HL7v2,121,63,"A simple library for creating HL7 middleware, based on connect & express.",https://github.com/hitgeek/simple-hl7,MIT License,JavaScript,"hitgeek, robertruppnj, dependabot[bot]",11,2015-05-12,2025-06-11,2024-06-07,0,
OpenIntegrationEngine/engine,Interoperability,Gateways & Connectors,"FHIR, HL7v2, HL7 CDA",121,32,An open source fork of the now closed-source Mirth Connect,https://github.com/OpenIntegrationEngine/engine,Mozilla Public License 2.0,Java,"narupley, brentmoen, lmillergithub",24,2025-03-28,2025-10-03,2025-10-01,1186,"ccda, fhir, healthcare, hl7, integrations"
MLBazaar/Cardea,Model Development,Modelling & Training,,121,22,An open source automl library for using machine learning in healthcare.,https://github.com/MLBazaar/Cardea,MIT License,Python,"sarahmish, ShahadThobaiti, ChengFR",11,2018-07-25,2025-09-11,2024-03-20,0,"automl, healthcare, machine-learning"
Refactoring/ECGToolkit,Interoperability,Converters & Transformers,"DICOM, HL7v2",120,57,"C# ECG Toolkit 3.0.   Support for: SCP-ECG, DICOM, HL7 aECG, ISHNE & MUSE-XML. (Migrating from Sourc...",https://github.com/Refactoring/ECGToolkit,Unknown,C#,"DannyBoyNg, Refactoring",2,2016-06-12,2025-09-26,2024-11-01,0,
HCA-Healthcare/elixir-hl7,Interoperability,Data Models & Validation,HL7v2,120,27,An Elixir library for working with HL7 v2.x healthcare data,https://github.com/HCA-Healthcare/elixir-hl7,Apache License 2.0,Elixir,"DarkMarmot, bryanhunter, starbelly",10,2018-05-22,2025-09-25,2025-09-02,0,
llSourcell/AI_for_healthcare,References,,,117,69,"This is the code for ""AI for Healthcare"" By Siraj Raval on Youtube",https://github.com/llSourcell/AI_for_healthcare,Unknown,Jupyter Notebook,llSourcell,1,2018-04-21,2025-08-09,2018-04-21,0,
cerner/bunsen,Archived,Analytics,,116,49,"Explore, transform, and analyze FHIR data with Apache Spark",https://github.com/cerner/bunsen,Apache License 2.0,Java,"amarvakul, bdrillard, rbrush",11,2017-11-16,2025-09-06,2023-11-09,0,
LHNCBC/lforms,App Development,Profiling & Authoring,,118,65,"See the project website at http://lhncbc.github.io/lforms/, or view the demo website at https://lhcf...",https://github.com/LHNCBC/lforms,Other,JavaScript,"plynchnlm, lhcye, jcy1225",9,2014-10-22,2025-09-25,2025-09-25,0,"fhir, javascript"
OHDSI/ETL-Synthea,Model Development,Dataset Processing,"OMOP-CDM, FHIR",115,76,A package supporting the conversion from Synthea CSV to OMOP CDM,https://github.com/OHDSI/ETL-Synthea,Unknown,R,"AnthonyMolinaro, clairblacketer, fdefalco",17,2018-11-27,2025-08-16,2025-02-21,0,etl
intervention-engine/fhir,Archived,,,113,54,Generic FHIR server implementation in GoLang.,https://github.com/intervention-engine/fhir,Apache License 2.0,Go,"cmoesel, eedrummer, ssayer",3,2014-12-16,2025-09-06,2018-08-27,0,
microsoft/healthkit-on-fhir,Interoperability,Gateways & Connectors,"FHIR, iomt",114,27,HealthKitOnFhir is a Swift library that automates the export of Apple HealthKit Data to a FHIR Serve...,https://github.com/microsoft/healthkit-on-fhir,MIT License,Swift,"namalu, ShaunDonn, JoeDRowan",7,2019-10-11,2025-09-17,2022-03-29,0,
deoxxa/hl7,Interoperability,Data Models & Validation,HL7v2,113,23,,https://github.com/deoxxa/hl7,Other,Go,"deoxxa, levinalex-samedi",2,2016-04-26,2025-07-10,2018-02-02,0,
google/fhir-examples,Archived,,,112,35,Usage Examples for github.com/google/fhir,https://github.com/google/fhir-examples,Apache License 2.0,C++,"nickgeorge, Cam2337, alextumanov",9,2019-11-14,2025-08-25,2022-09-08,0,
lantanagroup/FHIR.js,Interoperability,Data Models & Validation,FHIR,113,32,Node.JS library for serializing/deserializing FHIR resources between JS/JSON and XML using various n...,https://github.com/lantanagroup/FHIR.js,Apache License 2.0,TypeScript,"seanmcilvenna, lschmierer, dependabot[bot]",11,2015-07-27,2025-09-25,2023-08-07,0,"engineering, fhir, fhirpath, javascript, json"
aehrc/pathling,Infrastructure,Analytics,FHIR,110,15,"Tools that make it easier to use FHIR® and clinical terminology within data analytics, built on Apac...",https://github.com/aehrc/pathling,Apache License 2.0,Java,"johngrimes, piotrszul, dependabot[bot]",11,2020-03-23,2025-09-25,2025-09-25,6,"analytics, fhir, spark, standards, terminology"
